3.472947*eV   2177.032500*m
3.482702*eV   2151.917500*m
3.492513*eV   2127.819000*m
3.502378*eV   2104.737000*m
3.512300*eV   2081.655000*m
3.522278*eV   2058.573000*m
3.532313*eV   2035.491000*m
3.542406*eV   2012.409000*m
3.552556*eV   1989.327000*m
3.562764*eV   1966.245000*m
3.573032*eV   1943.163000*m
3.583358*eV   1920.081000*m
3.593745*eV   1897.959000*m
3.604192*eV   1876.797000*m
3.614700*eV   1855.635000*m
3.625269*eV   1834.473000*m
3.635900*eV   1813.311000*m
3.646594*eV   1792.149000*m
3.657351*eV   1770.987000*m
3.668172*eV   1749.825000*m
3.679056*eV   1728.663000*m
3.690006*eV   1707.501000*m
3.701021*eV   1687.244000*m
3.712102*eV   1667.892000*m
3.723249*eV   1648.540000*m
3.734464*eV   1629.188000*m
3.745746*eV   1609.836000*m
3.757097*eV   1590.484000*m
3.768517*eV   1571.132000*m
3.780006*eV   1551.780000*m
3.791566*eV   1532.428000*m
3.803196*eV   1513.076000*m
3.814898*eV   1494.576500*m
3.826673*eV   1476.929500*m
3.838520*eV   1459.282500*m
3.850441*eV   1441.635500*m
3.862436*eV   1423.988500*m
3.874506*eV   1406.341500*m
3.886652*eV   1388.694500*m
3.898874*eV   1371.047500*m
3.911173*eV   1353.400500*m
3.923551*eV   1335.753500*m
3.936006*eV   1318.906500*m
3.948541*eV   1302.859500*m
3.961156*eV   1286.812500*m
3.973853*eV   1270.765500*m
3.986630*eV   1254.718500*m
3.999490*eV   1238.671500*m
4.012434*eV   1222.624500*m
4.025461*eV   1206.577500*m
4.038573*eV   1190.530500*m
4.051771*eV   1174.483500*m
4.065056*eV   1159.187500*m
4.078428*eV   1144.642500*m
4.091888*eV   1130.097500*m
4.105437*eV   1115.552500*m
4.119076*eV   1101.007500*m
4.132807*eV   1086.462500*m
4.146629*eV   1071.917500*m
4.160544*eV   1057.372500*m
4.174552*eV   1042.827500*m
4.188655*eV   1028.282500*m
4.202854*eV   1014.439400*m
4.217150*eV   1001.298200*m
4.231543*eV   988.157000*m
4.246034*eV   975.015800*m
4.260625*eV   961.874600*m
4.275317*eV   948.733400*m
4.290111*eV   935.592200*m
4.305007*eV   922.451000*m
4.320007*eV   909.309800*m
4.335112*eV   896.168600*m
4.350323*eV   883.683100*m
4.365641*eV   871.853300*m
4.381067*eV   860.023500*m
4.396603*eV   848.193700*m
4.412249*eV   836.363900*m
4.428007*eV   824.534100*m
4.443878*eV   812.704300*m
4.459863*eV   800.874500*m
4.475964*eV   789.044700*m
4.492181*eV   777.214900*m
4.508516*eV   765.995500*m
4.524971*eV   755.386500*m
4.541546*eV   744.777500*m
4.558243*eV   734.168500*m
4.575063*eV   723.559500*m
4.592007*eV   712.950500*m
4.609078*eV   702.341500*m
4.626276*eV   691.732500*m
4.643603*eV   681.123500*m
4.661060*eV   670.514500*m
4.678649*eV   660.472400*m
4.696371*eV   650.997200*m
4.714228*eV   641.522000*m
4.732221*eV   632.046800*m
4.750352*eV   622.571600*m
4.768623*eV   613.096400*m
4.787035*eV   603.621200*m
4.805589*eV   594.146000*m
4.824288*eV   584.670800*m
4.843133*eV   575.195600*m
4.862125*eV   566.245400*m
4.881268*eV   557.820200*m
4.900561*eV   549.395000*m
4.920008*eV   540.969800*m
4.939609*eV   532.544600*m
4.959368*eV   524.119400*m
4.979285*eV   515.694200*m
4.999363*eV   507.269000*m
5.019603*eV   498.843800*m
5.040008*eV   490.418600*m
5.060580*eV   482.478150*m
5.081320*eV   475.022450*m
5.102230*eV   467.566750*m
5.123314*eV   460.111050*m
5.144573*eV   452.655350*m
5.166008*eV   445.199650*m
5.187623*eV   437.743950*m
5.209420*eV   430.288250*m
5.231401*eV   422.832550*m
5.253568*eV   415.376850*m
5.275923*eV   408.367150*m
5.298470*eV   401.803450*m
5.321210*eV   395.239750*m
5.344146*eV   388.676050*m
5.367281*eV   382.112350*m
5.390617*eV   375.548650*m
5.414157*eV   368.984950*m
5.437903*eV   362.421250*m
5.461859*eV   355.857550*m
5.486026*eV   349.293850*m
5.510409*eV   343.139100*m
5.535009*eV   337.393300*m
5.559830*eV   331.647500*m
5.584874*eV   325.901700*m
5.610145*eV   320.155900*m
5.635645*eV   314.410100*m
5.661379*eV   308.664300*m
5.687349*eV   302.918500*m
5.713558*eV   297.172700*m
5.740009*eV   291.426900*m
5.766707*eV   286.018818*m
5.793654*eV   280.948455*m
5.820854*eV   275.878091*m
5.848311*eV   270.807727*m
5.876028*eV   265.737364*m
5.904009*eV   260.667000*m
5.932258*eV   255.737000*m
5.960779*eV   250.878000*m
5.989575*eV   246.088000*m
6.018650*eV   241.367000*m
6.048010*eV   236.714000*m
6.077657*eV   232.129000*m
6.107596*eV   227.611000*m
6.137832*eV   223.159000*m
6.168368*eV   218.773000*m
6.199210*eV   214.451000*m
6.230362*eV   210.195000*m
6.261828*eV   206.001000*m
6.293614*eV   201.871000*m
6.325724*eV   197.803000*m
6.358164*eV   193.797000*m
6.390938*eV   189.852000*m
6.424052*eV   185.968000*m
6.457510*eV   182.144000*m
6.491319*eV   178.379000*m
6.525484*eV   174.672000*m

