Wavelength (nm),Rayleigh Length (m)
533.0,10813.64458914453
534.0,10895.029013928446
535.0,10976.871961420036
536.0,11059.175150653546
537.0,11141.940303879801
538.0,11225.169146566204
539.0,11308.863407396748
540.0,11393.024818271995
541.0,11477.655114309098
542.0,11562.756033841788
543.0,11648.329318420381
544.0,11734.376712811783
545.0,11820.899964999478
546.0,11907.900826183542
547.0,11995.381050780636
548.0,12083.342396424006
549.0,12171.786623963493
550.0,12260.715497465519
551.0,12350.130784213105
552.0,12440.034254705855
553.0,12530.427682659974
554.0,12621.312845008248
555.0,12712.691521900064
556.0,12804.565496701405
557.0,12896.936555994842
558.0,12989.806489579543
559.0,13083.17709047128
560.0,13177.050154902408
561.0,13271.427482321893
562.0,13366.310875395297
563.0,13461.702140004772
564.0,13557.603085249082
565.0,13654.015523443586
566.0,13750.941270120244
567.0,13848.382144027622
568.0,13946.339967130887
569.0,14044.816564611809
570.0,14143.813764868764
571.0,14243.333399516734
572.0,14343.377303387304
573.0,14443.947314528668
574.0,14545.045274205631
575.0,14646.6730268996
576.0,14748.832420308596
577.0,14851.525305347246
578.0,14954.75353614679
579.0,15058.518970055082
580.0,15162.82346763658
581.0,15267.668892672362
582.0,15373.057112160117
583.0,15478.98999631415
584.0,15585.469418565379
585.0,15692.497255561335
586.0,15800.075387166175
587.0,15908.20569646066
588.0,16016.890069742181
589.0,16126.130396524739
590.0,16235.928569538959
591.0,16346.286484732083
592.0,16457.20604126798
593.0,16568.68914152713
594.0,16680.737691106646
595.0,16793.35359882026
596.0,16906.53877669832
597.0,17020.295139987815
598.0,17134.624607152342
599.0,17249.529099872132
600.0,17365.010543044045
601.0,17481.070864781563
602.0,17597.711996414797
603.0,17714.93587249049
604.0,17832.744430772007
605.0,17951.139612239353
606.0,18070.123361089158
607.0,18189.69762473468
608.0,18309.864353805817
609.0,18430.625502149094
610.0,18551.983026827675
611.0,18673.938888121353
612.0,18796.49504952656
613.0,18919.65347775635
614.0,19043.416142740443
615.0,19167.785017625163
616.0,19292.7620787735
617.0,19418.349305765056
618.0,19544.548681396092
619.0,19671.362191679502
620.0,19798.79182584482
621.0,19926.839576338218
622.0,20055.50743882252
623.0,20184.79741217718
624.0,20314.71149849831
625.0,20445.251703098642
626.0,20576.420034507588
627.0,20708.218504471166
628.0,20840.649127952074
629.0,20973.71392312963
630.0,21107.41491139982
631.0,21241.75411737527
632.0,21376.733568885244
633.0,21512.355296975667
634.0,21648.621335909123
635.0,21785.533723164823
636.0,21923.09449943865
637.0,22061.305708643125
638.0,22200.169397907433
639.0,22339.68761757741
640.0,22479.862421215534
641.0,22620.695865600952
642.0,22762.190010729464
643.0,22904.34691981352
644.0,23047.168659282226
645.0,23190.65729878136
646.0,23334.81491117334
647.0,23479.64357253725
648.0,23625.145362168834
649.0,23771.3223625805
650.0,23918.176659501303
651.0,24065.710341876977
652.0,24213.925501869904
653.0,24362.824234859134
654.0,24512.408639440386
655.0,24662.68081742603
656.0,24813.642873845114
657.0,24965.29691694333
658.0,25117.645058183072
659.0,25270.689412243366
660.0,25424.432097019922
661.0,25578.875233625113
662.0,25734.020946387976
663.0,25889.871362854235
664.0,26046.428613786265
665.0,26203.694833163114
666.0,26361.67215818051
667.0,26520.362729250843
668.0,26679.76869000318
669.0,26839.892187283265
670.0,27000.73537115351
671.0,27162.300394893
672.0,27324.589414997496
673.0,27487.604591179443
674.0,27651.348086367943
675.0,27815.822066708795
676.0,27981.028701564468
677.0,28146.9701635141
678.0,28313.648628353523
679.0,28481.066275095236
680.0,28649.22528596842
681.0,28818.127846418945
682.0,28987.776145109357
683.0,29158.17237391888
684.0,29329.31872794342
685.0,29501.217405495572
686.0,29673.87060810462
687.0,29847.28054051651
688.0,30021.44941069389
689.0,30196.3794298161
690.0,30372.07281227915
691.0,30548.53177569574
692.0,30725.75854089527
693.0,30903.75533192381
694.0,31082.52437604413
695.0,31262.067903735686
696.0,31442.388148694627
697.0,31623.48734783378
698.0,31805.367741282684
699.0,31988.031572387557
700.0,32171.481087711298
